row_idx,section,category,fuel,record_type,vehicle,c1,c2,c3,c4,c5,c6,c7,c8
5,,Загальновиробничі витрати,бензин А-92,fuel_total,,3291.2,57592.14,112.5,4590.500000000001,112.5,,0.0,
6,,Загальновиробничі витрати,бензин А-92,vehicle,УАЗ 98-62 АХ,,,,110.4,,,,
7,,Загальновиробничі витрати,бензин А-92,vehicle,ГАЗ-5201 ПЛ610 135-12,,,15.5,790.5,,,,
8,,Загальновиробничі витрати,бензин А-92,vehicle,PEUGEOT 33-19 ЕС,,,22.0,1217.4,,,,
9,,Загальновиробничі витрати,бензин А-92,vehicle,ВАЗ 21063 16-32 СО,,,15.0,653.55,,,,
10,,Загальновиробничі витрати,бензин А-92,vehicle,ЗІЛ-130 66-78 ВІ,,,43.0,1295.05,,,,
11,,Загальновиробничі витрати,бензин А-92,vehicle,ГАЗ-52 66-79 ВЕ,,,9.0,273.67,,,,
12,,Загальновиробничі витрати,бензин А-92,vehicle,ГАЗ-33023 66-80ВЕ,,,8.0,249.93,,,,
14,,Тример,бензин А-95,fuel_total,,,,544.5,26967.5,,,,
15,,Тример,бензин А-95,vehicle,УАЗ 98-62 АХ,,,,,,,,
16,,Тример,бензин А-95,vehicle,ГАЗ-5201 ПЛ610 135-12,,,15.5,728.5,,,,
17,,Тример,бензин А-95,vehicle,PEUGEOT 33-19 ЕС,,,339.0,16739.0,,,,
18,,Тример,бензин А-95,vehicle,ВАЗ 21063 16-32 СО,,,,,,,,
19,,Тример,бензин А-95,vehicle,електрогенератор,,,190.0,9500.0,,,,
20,,Тример,бензин А-95,vehicle,дизельне пальне,3302.0,58030.98,2743.1,111453.23,2743.1,,0.0,
21,,Тример,бензин А-95,vehicle,FIAT DOBLO 0538 ЕН,,,451.19999999999993,20655.52,,,,
22,,Тример,бензин А-95,vehicle,FIAT DOBLO 0537 ЕН,,,996.3,43278.71,,,,
23,,Тример,бензин А-95,vehicle,ГАЗ-3309 89-42ВМ,,,45.53,1318.73,,,,
24,,Тример,бензин А-95,vehicle,трактор Т-16,,,134.7,3181.3999999999996,,,,
25,,Тример,бензин А-95,vehicle,екскаватор ЭО 2626,,,357.99999999999994,11378.08,,,,
26,,Тример,бензин А-95,vehicle,екскаватор Борекс,,,701.3699999999999,28560.789999999997,,,,
27,,Тример,бензин А-95,vehicle,електрогенератор,,,56.0,3080.0,,,,
28,,Тример,газ скраплений,fuel_total,,28.2,298.22,4.5,132.48000000000002,4.5,,0.0,
29,,Тример,газ скраплений,vehicle,ВАЗ 21063 16-32 СО,,,4.5,132.48000000000002,,,,
30,,Тример,Аерозоль мастило,fuel_total,,90.0,4374.52,2.0,180.0,2.0,,0.0,
31,,Тример,Аерозоль мастило,vehicle,Антифриз,25.0,1062.85,28.25,871.77,28.25,,0.0,
32,,Тример,Аерозоль мастило,vehicle,Олива Леол лидер,,,8.0,800.0,8.0,,0.0,
33,,Тример,Аерозоль мастило,vehicle,Олива Леол мге,,,121.0,9679.56,121.0,,0.0,
34,,Тример,Аерозоль мастило,vehicle,Олива Леол турбодиз.,,,75.0,7365.0,75.0,,0.0,
35,,Тример,Аерозоль мастило,vehicle,Тосол,75.0,1643.73,147.0,9894.26,147.0,,0.0,
36,,Тример,Масло МРМ,fuel_total,,3.0,245.28,2.0,2600.0,2.0,,0.0,
37,,Тример,Масло МРМ,vehicle,Олива леол S2T,,,2.0,140.7,2.0,,0.0,
38,,Тример,Масло МРМ,vehicle,Олива Леол М-10/40,,,10.0,661.26,10.0,,0.0,
39,,Тример,Масло 10W40,fuel_total,,,,53.0,5298.5199999999995,53.0,,0.0,
40,,Тример,Масло 10W40,vehicle,Рідина гальмівна,3.0,282.12,3.5,283.0,3.5,,0.0,
41,,Тример,Масло 10W40,vehicle,Олива ТАД-17,54.0,2832.01,5.0,326.0,5.0,,0.0,
42,,Тример,Масло 10W40,vehicle,смазка універсальна,9.5,667.8,6.0,946.0,6.0,,0.0,
43,,Тример,Масло 10W40,vehicle,Літол,30.0,880.09,5.5,800.0,5.5,,0.0,
44,,Тример,Масло 10W40,vehicle,WD 40,,,0.4,223.0,0.4,,0.0,
45,,Тример,Масло 10W40,vehicle,Всього,,127909.73999999999,,183212.78,,,0.0,
