row_idx,section,fuel,record_type,vehicle,fact_qty,fact_amount,plan_qty,plan_amount,price,delta
5,,бензин А-92,fuel_total,,57592.14,112.5,4590.5,112.5,,0.0
6,,бензин А-92,vehicle,УАЗ 98-62 АХ,,,110.4,,,
7,,бензин А-92,vehicle,ГАЗ-5201 ПЛ610 135-12,,15.5,790.5,,,
8,,бензин А-92,vehicle,PEUGEOT 33-19 ЕС,,22.0,1217.4,,,
9,,бензин А-92,vehicle,ВАЗ 21063 16-32 СО,,15.0,653.55,,,
10,,бензин А-92,vehicle,ЗІЛ-130 66-78 ВІ,,43.0,1295.05,,,
11,,бензин А-92,vehicle,ГАЗ-52 66-79 ВЕ,,9.0,273.67,,,
12,,бензин А-92,vehicle,ГАЗ-33023 66-80ВЕ,,8.0,249.93,,,
14,,бензин А-95,fuel_total,,,544.5,26967.5,,,
15,,бензин А-95,vehicle,УАЗ 98-62 АХ,,,,,,
16,,бензин А-95,vehicle,ГАЗ-5201 ПЛ610 135-12,,15.5,728.5,,,
17,,бензин А-95,vehicle,PEUGEOT 33-19 ЕС,,339.0,16739.0,,,
18,,бензин А-95,vehicle,ВАЗ 21063 16-32 СО,,,,,,
19,,бензин А-95,vehicle,електрогенератор,,190.0,9500.0,,,
20,,бензин А-95,vehicle,дизельне пальне,58030.98,2743.1,111453.23,2743.1,,0.0
21,,бензин А-95,vehicle,FIAT DOBLO 0538 ЕН,,451.2,20655.52,,,
22,,бензин А-95,vehicle,FIAT DOBLO 0537 ЕН,,996.3,43278.71,,,
23,,бензин А-95,vehicle,ГАЗ-3309 89-42ВМ,,45.53,1318.73,,,
24,,бензин А-95,vehicle,трактор Т-16,,134.7,3181.4,,,
25,,бензин А-95,vehicle,екскаватор ЭО 2626,,358.0,11378.08,,,
26,,бензин А-95,vehicle,екскаватор Борекс,,701.37,28560.79,,,
27,,бензин А-95,vehicle,електрогенератор,,56.0,3080.0,,,
28,,газ скраплений,fuel_total,,298.22,4.5,132.48,4.5,,0.0
29,,газ скраплений,vehicle,ВАЗ 21063 16-32 СО,,4.5,132.48,,,
30,,Аерозоль мастило,fuel_total,,4374.52,2.0,180.0,2.0,,0.0
31,,Аерозоль мастило,vehicle,Антифриз,1062.85,28.25,871.77,28.25,,0.0
32,,Аерозоль мастило,vehicle,Олива Леол лидер,,8.0,800.0,8.0,,0.0
33,,Аерозоль мастило,vehicle,Олива Леол мге,,121.0,9679.56,121.0,,0.0
34,,Аерозоль мастило,vehicle,Олива Леол турбодиз.,,75.0,7365.0,75.0,,0.0
35,,Аерозоль мастило,vehicle,Тосол,1643.73,147.0,9894.26,147.0,,0.0
36,,Масло МРМ,fuel_total,,245.28,2.0,2600.0,2.0,,0.0
37,,Масло МРМ,vehicle,Олива леол S2T,,2.0,140.7,2.0,,0.0
38,,Масло МРМ,vehicle,Олива Леол М-10/40,,10.0,661.26,10.0,,0.0
39,,Масло 10W40,fuel_total,,,53.0,5298.52,53.0,,0.0
40,,Масло 10W40,vehicle,Рідина гальмівна,282.12,3.5,283.0,3.5,,0.0
41,,Масло 10W40,vehicle,Олива ТАД-17,2832.01,5.0,326.0,5.0,,0.0
42,,Масло 10W40,vehicle,смазка універсальна,667.8,6.0,946.0,6.0,,0.0
43,,Масло 10W40,vehicle,Літол,880.09,5.5,800.0,5.5,,0.0
44,,Масло 10W40,vehicle,WD 40,,0.4,223.0,0.4,,0.0
45,,Масло 10W40,vehicle,Всього,127909.74,,183212.78,,,0.0
